dsdadfdsdfgdsgsd[ctrl_l][ctrl_l][esc][delete][delete][ctrl_l]2020-09-27 20:35:24,540: Key released: Key.enter
2020-09-27 20:35:25,359: Key pressed: 'd'
2020-09-27 20:35:25,544: Key released: 'd'
2020-09-27 20:35:25,721: Key pressed: 'd'
2020-09-27 20:35:25,774: Key pressed: 'f'
2020-09-27 20:35:25,897: Key pressed: 's'
2020-09-27 20:35:25,938: Key released: 'f'
2020-09-27 20:35:26,143: Key pressed: 'f'
2020-09-27 20:35:26,208: Key released: 's'
2020-09-27 20:35:26,258: Key released: 'd'
2020-09-27 20:35:26,421: Key released: 'f'
2020-09-27 20:35:26,609: Key pressed: 'j'
2020-09-27 20:35:26,720: Key pressed: 'k'
2020-09-27 20:35:26,738: Key pressed: 'l'
2020-09-27 20:35:26,856: Key released: 'j'
2020-09-27 20:35:26,940: Key pressed: 's'
2020-09-27 20:35:26,979: Key pressed: 'd'
2020-09-27 20:35:27,083: Key released: 'l'
2020-09-27 20:35:27,096: Key released: 'k'
2020-09-27 20:35:27,109: Key released: 'd'
2020-09-27 20:35:27,241: Key released: 's'
2020-09-27 20:35:27,896: Key pressed: 's'
2020-09-27 20:35:27,905: Key pressed: 'l'
2020-09-27 20:35:28,007: Key pressed: 'd'
2020-09-27 20:35:28,040: Key pressed: 'k'
2020-09-27 20:35:28,217: Key pressed: 'f'
2020-09-27 20:35:28,233: Key released: 'l'
2020-09-27 20:35:28,237: Key released: 's'
2020-09-27 20:35:28,266: Key pressed: 'j'
2020-09-27 20:35:28,340: Key released: 'd'
2020-09-27 20:35:28,367: Key released: 'k'
2020-09-27 20:35:28,518: Key released: 'f'
2020-09-27 20:35:28,531: Key released: 'j'
2020-09-27 20:35:28,833: Key pressed: 'g'
2020-09-27 20:35:28,849: Key pressed: 'j'
2020-09-27 20:35:29,073: Key pressed: 'k'
2020-09-27 20:35:29,075: Key pressed: 'd'
2020-09-27 20:35:29,116: Key released: 'g'
2020-09-27 20:35:29,118: Key pressed: 'l'
2020-09-27 20:35:29,145: Key released: 'j'
2020-09-27 20:35:29,176: Key pressed: 's'
2020-09-27 20:35:29,409: Key released: 'k'
2020-09-27 20:35:29,419: Key pressed: ';'
2020-09-27 20:35:29,443: Key released: 'd'
2020-09-27 20:35:29,458: Key released: 'l'
2020-09-27 20:35:29,547: Key released: 's'
2020-09-27 20:35:29,592: Key released: ';'
2020-09-27 20:35:30,417: Key pressed: 'j'
2020-09-27 20:35:30,432: Key pressed: 'f'
2020-09-27 20:35:30,498: Key pressed: 'k'
2020-09-27 20:35:30,579: Key pressed: 'd'
2020-09-27 20:35:30,613: Key pressed: 'l'
2020-09-27 20:35:30,714: Key pressed: 's'
2020-09-27 20:35:30,736: Key released: 'f'
2020-09-27 20:35:30,764: Key released: 'j'
2020-09-27 20:35:30,778: Key pressed: ';'
2020-09-27 20:35:30,899: Key released: 'd'
2020-09-27 20:35:30,919: Key released: 'k'
2020-09-27 20:35:30,928: Key released: 'l'
2020-09-27 20:35:31,081: Key released: 's'
2020-09-27 20:35:31,116: Key released: ';'
2020-09-27 20:35:31,961: Key pressed: 'j'
2020-09-27 20:35:31,983: Key pressed: 'd'
2020-09-27 20:35:32,004: Key pressed: 'f'
2020-09-27 20:35:32,008: Key pressed: 'k'
2020-09-27 20:35:32,258: Key pressed: 'a'
2020-09-27 20:35:32,277: Key pressed: 'l'
2020-09-27 20:35:32,335: Key released: 'f'
2020-09-27 20:35:32,417: Key pressed: ';'
2020-09-27 20:35:32,465: Key released: 'j'
2020-09-27 20:35:32,528: Key released: 'l'
2020-09-27 20:35:32,539: Key pressed: 's'
2020-09-27 20:35:32,576: Key released: 'k'
2020-09-27 20:35:32,618: Key released: 'd'
2020-09-27 20:35:32,739: Key released: 's'
2020-09-27 20:35:32,744: Key released: ';'
2020-09-27 20:35:32,767: Key released: 'a'
2020-09-27 20:35:33,329: Key pressed: Key.ctrl_l
2020-09-27 20:35:33,829: Key pressed: Key.ctrl_l
2020-09-27 20:35:33,862: Key pressed: Key.ctrl_l
2020-09-27 20:35:33,889: Key pressed: '\x03'
2020-09-27 20:35:34,005: Key released: '\x03'
2020-09-27 20:35:34,098: Key pressed: '\x03'
2020-09-27 20:35:34,276: Key released: '\x03'
2020-09-27 20:35:35,059: Key pressed: <192>
2020-09-27 20:35:35,129: Key released: <192>
2020-09-27 20:35:35,172: Key pressed: <192>
2020-09-27 20:35:35,452: Key released: <192>
2020-09-27 20:35:35,697: Key released: Key.ctrl_l
